id,id_grupo,categoria,tipo_producto,titulo,ano,tipologia
00262,003,Proyectos,Investigación y desarrollo,"Análisis de la efectividad en los procesos de formación y capacitación para las funciones sustantivas de docencia e investigación, coordinados por el área de gestión humana",2019/12,2
00263,003,Proyectos,Investigación y desarrollo,Metodologías educativas preferidas por las estudiantes de la licenciatura en educación infantil en los procesos de aprendizaje.,2019/11,2
00264,003,Proyectos,Investigación y desarrollo,"Sistema axiologico de los estudiantes universitarios de la Facultad de Ciencias Administrativas, Económicas y contables de Latinoamerica. Caso: Univerisdad Católica Luis Amigo.",Actual,2
00265,003,Proyectos,Investigación y desarrollo,"Estudio Internacional de las Actividades Turísticas en las Zonas de Conflicto, caso Medellín Colombia y Zona Zapatista Chiapas México - Fase II",2019/12,2
00266,003,Proyectos,Investigación y desarrollo,Innovación Incremental en los procesos productivos y administrativos de Novaventa,2019/11,2
00267,003,Proyectos,"Investigación, desarrollo e innovación",Acompañamiento joven investigador,2019/8,2
00268,003,Proyectos,Investigación y desarrollo,Divulgación y promoción de técnicas de cocina básica utilizadas en el entorno educativo de la ciudad de Medellín,2019/6,2
00269,003,Proyectos,Investigación y desarrollo,Evaluación de la influencia de las condiciones de fabricación sobre la calidad de cerveza artesanal tipo lager elaborada a nivel piloto,2019/6,2
00270,003,Proyectos,Investigación y desarrollo,Impacto social y laboral de los graduados de posgrados en los diferentes ámbitos de desempeño ¿ 2019,2019/7,2
00271,003,Proyectos,Investigación y desarrollo,Evaluación de la influencia de la educación nutricional sobre la adopción de preferencias alimentarias en estudiantes de gastronomía,2019/6,2
00272,003,Proyectos,Investigación y desarrollo,"Producto Inv. Innovación transformación, procesamiento y caracterización de alimentos y bebidas",2019/6,2
00273,003,Proyectos,Investigación y desarrollo,Estilos de Liderazgo y Violencia Ocupacional,2019/1,2
00274,003,Proyectos,Investigación y desarrollo,Red Amigoniana de Innovación Social - RAIS - Fase I,2018/11,2
00275,003,Proyectos,Investigación y desarrollo,Balanced Scoredcard para el programa de Administración de Empresas de la Universidad Católica Luis Amigó - Fase I,2018/11,2
00276,003,Proyectos,"Investigación, desarrollo e innovación","Feminicidio, neurociencias y organizaciones",Actual,2
00277,003,Proyectos,Investigación y desarrollo,Valor agregado del proceso formativo en los graduados de la Universidad Católica Luis Amigó,2019/11,2
00278,003,Proyectos,Investigación y desarrollo,"la selección de personal y la evaluación de desempeño como factores de éxito en el área de gestión humana de la compañía Industrias Calidad y Moda, con NIT 9009184981",2018/11,2
00279,003,Proyectos,Investigación y desarrollo,Modelo de emprendimiento sostenible para la creación de PYMES por estudiantes universitarios en Latinoamérica. Caso: Universidad Católica Luis Amigó,2018/11,2
00280,003,Proyectos,Investigación y desarrollo,Aplicación de la metodología flipped classroom en los cursos del área de procesos del programa de administración de empresas en la Universidad Católica Luis Amigó. Resultados y avances,2018/11,2
00281,003,Proyectos,Investigación y desarrollo,Estandarización de metodologías de gestión aplicando herramientas diagnósticas para la mejora continua de procesos en microempresas de la ciudad de Medellín. Estudios de casos desarrollados en la asignatura gestión de procesos,2018/12,2
00282,003,Proyectos,Investigación y desarrollo,SEMILLERO DE GESTIÓN DE PROCESOS ADMINISTRATIVOS (GEPA),2024/12,2
00283,003,Proyectos,Investigación y desarrollo,"El manejo de los recursos económicos y la Inteligencia financiera en los estudiantes de educación superior de la Facultad de Ciencias Económicas, administrativas y contables: caso de estudio Universidad Católica Luis Amigó y Corporación Universitaria Amer",2018/Sin mes,2
00284,003,Proyectos,Investigación y desarrollo,CREACION DEL OBSERVATORIO FINANCIERO EN LA UNIVERSIDAD CATOLICA LUIS AMIGO,2018/11,2
00285,003,Proyectos,Investigación y desarrollo,Modelo de salario emocional como estrategia organizacional para la fidelización de los colaboradores.,2018/12,2
00286,003,Proyectos,Investigación y desarrollo,Efectos de la dieta y la alimentación en los procesos evolutivos de encefalización de la especie humana: Estado del Arte,2018/9,2
