id,id_grupo,categoria,tipo_producto,titulo,pais,ano,titulo_libro,autores,tipologia
00588,011,Capítulos de libro publicados,Capítulo de libro,"Barras bravas, consumo de drogas y violencia. El caso de la Ciudad de Medellin.",Colombia,2014,Barras Bravas En El Futbol,NICOLAS IGNACIO URIBE ARAMBURO,1
00589,011,Capítulos de libro publicados,Otro capítulo de libro publicado,LA FAMILIA COMO FACTOR DE RIESGO O PROTECCIÓN EN EL CONSUMO DE DROGAS,Colombia,2013,Familia,GUILLERMO ALONSO CASTANO PEREZ,1
00590,011,Capítulos de libro publicados,Otro capítulo de libro publicado,La familia como factor de riesgo o proteccion en el consumo de drogas,Colombia,2013,Familia,GUILLERMO ALONSO CASTANO PEREZ,1
00591,011,Capítulos de libro publicados,Otro capítulo de libro publicado,La familia como factor de riesgo o proteccion en el consumo de drogas,Colombia,2013,Familia,GUILLERMO ALONSO CASTANO PEREZ,1
00592,011,Capítulos de libro publicados,Otro capítulo de libro publicado,La familia como factor de riesgo o proteccion en el consumo de drogas,Colombia,2013,Familia,"GUILLERMO ALONSO CASTANO PEREZ, GLORIA LUCIA SIERRA AGUDELO, OTROS AUTORES",1
00593,011,Capítulos de libro publicados,Otro capítulo de libro publicado,La familia como factor de riesgo o proteccion en el consumo de drogas,Colombia,2013,Familia,"GUILLERMO ALONSO CASTANO PEREZ, GLORIA LUCIA SIERRA AGUDELO, OTROS AUTORES",1
00594,011,Capítulos de libro publicados,Otro capítulo de libro publicado,La familia como factor de riesgo o proteccion en el consumo de drogas,Colombia,2013,Familia,"GUILLERMO ALONSO CASTANO PEREZ, GLORIA LUCIA SIERRA AGUDELO, OTROS AUTORES",1
00595,011,Capítulos de libro publicados,Otro capítulo de libro publicado,"Cocaína y derivados: Clorhidrato, pasta básica de cocaína y crak",Colombia,2013,Fundamentos De Medicina: Adicciones,SANDRA MILENA RESTREPO ESCOBAR,1
00596,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Aportes de la Comunidad Terapéutica al Abordaje de las Adicciones,Colombia,2013,Fundamentos De Medicina: Adicciones,"CESAR AUGUSTO JARAMILLO JARAMILLO, ELVIA VELASQUEZ DE PABON",1
00597,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Conductores de buses en Medellín y consumo de sustancias psicoactivas,Colombia,2013,Robert Ashley,GUSTAVO ADOLFO CALDERON VALLEJO,1
00598,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Cafeína (xantinas) y bebidas energizantes,Colombia,2013,Fundamentos De Medicina: Adicciones,SANDRA MILENA RESTREPO ESCOBAR,1
00599,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Drogas de síntesis y éxtasis,Colombia,2013,Fundamentos De Medicina: Adicciones,SANDRA MILENA RESTREPO ESCOBAR,1
00600,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Estimulantes tipo anfetaminas y otros,Colombia,2013,Fundamentos De Medicina: Adicciones,SANDRA MILENA RESTREPO ESCOBAR,1
00601,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Seducción desde la publicidad al consumo de bebidas alcohólicas,Colombia,2009,Proceedings Encuentro Nacional De Investigación En Posgrados (Enip 2009).,GUSTAVO ADOLFO CALDERON VALLEJO,1
00602,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Nuevas Tendencias en Prevención de las drogodependencias,Colombia,2008,Psicoactivos: Cuestión De Todos,GUILLERMO ALONSO CASTANO PEREZ,1
00603,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Aproximación conceptual en la calidad de vida,Colombia,2008,Kit Educativo: Universidades Preventivas,MARIA CAROLINA MONTOYA MONTOYA,1
00604,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Construcción de currículo en la formación de formadores en la promoción de la calidad de vida,Colombia,2008,Kit Educativo: Universidades Preventivas,MARIA CAROLINA MONTOYA MONTOYA,1
00605,011,Capítulos de libro publicados,Otro capítulo de libro publicado,construcción de currículo en la formación de formadores en promoción de calidad de vida y problemáticas sociales,Colombia,2008,Kit Educativo: Universidades Preventivas,MARIA CAROLINA MONTOYA MONTOYA,1
00606,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Escrito educativo,Colombia,2008,Kit Educativo: Universidades Preventivas,MARIA CAROLINA MONTOYA MONTOYA,1
00607,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Consumo de Drogas en Universitarios Estrategias de Actuacion,Colombia,2008,Kit Educativo: Universidades Preventivas,GUILLERMO ALONSO CASTANO PEREZ,1
00608,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Concepto de problema social,Colombia,2008,Kit Educativo: Universidades Preventivas,GUSTAVO ADOLFO CALDERON VALLEJO,1
