id_investigador,id_prod
0049,01178
0049,01179
0049,01180
0049,01181
0049,01182
0049,01183
0049,01184
0047,01223
0054,01227
0054,01228
0054,01229
0054,01230
0054,01231
0053,01232
0002,01232
0056,01233
0060,01234
0053,01235
0056,01236
0056,01237
0056,01238
0056,01239
0054,01240
0054,01241
0061,01242
0054,01243
0053,01244
0053,01245
0056,01245
0053,01246
0053,01247
0054,01248
0054,01249
0054,01250
0053,01251
0056,01251
0056,01252
0061,01253
0054,01254
0054,01255
0054,01256
0055,01257
0054,01258
0056,01259
0055,01260
0055,01261
0055,01262
0054,01263
0053,01264
0056,01265
0059,01265
0056,01266
0059,01266
0053,01267
0059,01268
0056,01269
0059,01269
0054,01270
0054,01272
0054,01273
0054,01274
0056,01278
0056,01279
0053,01280
0053,01281
0053,01282
0054,01283
0059,01284
0053,01285
0054,01288
0054,01289
0056,01293
0056,01294
0056,01295
0072,01297
0056,01298
0053,01299
0061,01300
0056,01302
0059,01302
0055,01303
0056,01305
0056,01306
0058,01307
0059,01308
0056,01310
0056,01311
0061,01312
0053,01314
0002,01314
0056,01316
0056,01317
0056,01318
0061,01319
0059,01321
0053,01322
0002,01322
0053,01323
0002,01323
0053,01335
0002,01335
0059,01342
0026,01345
0059,01345
0059,01346
0061,01347
0059,01348
0059,01349
0061,01350
0058,01351
0059,01352
0061,01353
0059,01354
0061,01355
0059,01356
0058,01357
0059,01358
0059,01359
0059,01360
0059,01361
0059,01362
0059,01363
0059,01364
0059,01365
0059,01366
0059,01367
0059,01368
0059,01369
0059,01370
0059,01371
0059,01372
0059,01373
0059,01375
0059,01376
0061,01382
0061,01383
0058,01403
0058,01415
0066,01439
0068,01440
0075,01442
0075,01443
0075,01444
0075,01445
0081,01446
0081,01447
0072,01448
0067,01449
0071,01450
0075,01451
0075,01452
0081,01453
0081,01454
0068,01455
0067,01456
0067,01457
0067,01458
0067,01459
0063,01468
0063,01469
0068,01470
0069,01471
0071,01472
0081,01473
0081,01474
0081,01475
0081,01476
0077,01477
0077,01478
0077,01479
0077,01480
0078,01481
0078,01482
0078,01483
0078,01484
0067,01485
0067,01486
0067,01487
0071,01488
0071,01489
0071,01490
0071,01491
0071,01492
0080,01493
0080,01494
0067,01497
0067,01498
0067,01499
0067,01500
0067,01501
0071,01502
0067,01503
0067,01504
0067,01505
0067,01506
0067,01507
0081,01508
0067,01509
0067,01510
0067,01511
0067,01512
0067,01513
0064,01514
0077,01515
0067,01516
0071,01517
0065,01518
0065,01519
0069,01520
0069,01521
0080,01522
0065,01523
0080,01527
0072,01528
0083,01528
0126,01529
0083,01529
0065,01530
0064,01530
0072,01531
0072,01532
0083,01532
0080,01536
0080,01537
0080,01538
0071,01539
0071,01540
0071,01541
0071,01542
0071,01543
0071,01544
0071,01545
0081,01546
0080,01547
0080,01548
0065,01549
0069,01550
0069,01551
0069,01554
0069,01555
0065,01556
0072,01556
0072,01557
0059,01557
0072,01568
0080,01569
0083,01570
0063,01571
0007,01571
0063,01572
0063,01573
0063,01574
0068,01574
0063,01575
0068,01575
0063,01576
0068,01576
0078,01577
0068,01578
0065,01579
0080,01580
0080,01581
0080,01582
0080,01583
0080,01584
0068,01585
0071,01586
0071,01587
0071,01588
0071,01589
0071,01590
0071,01591
0071,01592
0068,01593
0069,01594
0078,01595
0080,01596
0078,01597
0078,01598
0078,01598
0081,01599
0081,01600
0072,01601
0081,01602
0078,01603
0078,01604
0078,01605
0078,01606
0069,01607
0078,01608
0081,01609
0071,01610
0081,01611
0081,01612
0080,01613
0083,01614
0077,01615
0080,01616
0080,01617
0065,01618
0064,01618
0071,01619
0071,01620
0080,01621
0080,01622
0080,01623
0071,01624
0072,01625
0069,01626
0077,01627
0077,01628
0077,01629
0156,01630
0078,01631
0078,01632
0078,01633
0078,01634
0078,01635
0063,01636
0065,01637
0072,01637
0078,01637
0065,01638
0072,01638
0078,01638
0071,01639
0081,01640
0081,01641
0078,01642
0072,01643
0072,01644
0072,01645
0081,01652
0081,01653
0081,01654
0069,01655
0069,01656
0080,01658
0081,01659
0077,01660
0072,01662
0065,01663
0065,01664
0071,01671
0071,01672
0071,01673
0065,01674
0065,01675
0065,01676
0071,01677
0065,01678
0080,01679
0080,01680
0080,01681
0081,01682
0081,01683
0081,01684
0081,01685
0081,01686
0071,01687
0071,01689
0072,01690
0072,01691
0080,01692
0071,01693
0065,01694
0072,01694
0078,01695
0071,01696
0071,01697
0071,01698
0071,01699
0071,01700
0078,01701
0078,01702
0065,01703
0072,01703
0080,01704
0080,01705
0080,01706
0080,01707
0080,01708
0078,01710
0078,01711
0078,01712
0078,01713
0078,01714
0078,01715
0072,01716
0072,01717
0072,01718
0072,01719
0072,01720
0072,01721
0072,01722
0072,01723
0078,01724
0072,01725
0080,01726
0065,01744
0065,01745
0065,01746
0065,01747
0065,01749
0065,01750
0072,01754
0065,01755
0065,01756
0065,01757
0065,01758
0078,01758
0071,01759
0071,01760
0071,01761
0071,01762
0071,01763
0071,01764
0071,01765
0065,01766
0065,01767
0065,01768
0065,01770
0065,01787
0065,01788
0065,01789
0071,01790
0065,01791
0071,01795
0065,01804
0065,01805
0065,01806
0065,01807
0065,01809
0065,01810
0071,01820
0071,01824
0065,01825
0065,01826
0065,01828
0065,01829
0065,01830
0065,01831
0065,01834
0065,01860
0065,01861
0065,01862
0065,01863
0065,01864
0065,01865
0065,01866
0065,01867
0065,01868
0095,01890
0095,01891
0095,01892
0095,01893
0095,01894
0095,01895
0095,01896
0095,01897
0095,01898
0095,01899
0095,01900
0095,01901
0095,01902
0095,01903
0095,01904
0093,01905
0095,01906
0095,01907
0095,01912
0093,01915
0093,01916
0089,01918
0089,01919
0089,01920
0089,01921
0089,01922
0089,01923
0093,01924
0093,01925
0093,01926
0093,01927
0093,01928
0089,01929
0093,01929
0093,01930
0090,01939
0090,01943
0090,01944
0090,01945
0090,01946
0090,01947
0092,01948
0093,01948
0093,01949
0090,01950
0090,01951
0090,01952
0092,01953
0093,01953
0089,01954
0089,01955
