id,id_grupo,categoria,tipo_producto,titulo,ano,institucion,autores,tipologia
01839,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Maltrato infantil y su influencia en el rendimiento académico de niños de 6 a 8 años en escolaridad,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01840,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,FACTORES ACTITUDINALES Y DE MOTIVACION QUE INFLUYEN EN EL APRENDIZAJE DEL INGLES COMO LENGUA EXTRANJERA EN LOS ESTUDIANTES DEL GRADO 5° DEL COLEGIO SAN IGNACIO DE LOYOLA DE MEDELLIN.,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01841,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Inclusión de los niños con dislexia en el aula,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01842,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,IMPORTANCIA DE ESPACIOS ADECUADOS PARA EL JUEGO,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01843,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,El saber y el hacer de los profesionales en educación Preescolar,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01844,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,¿CUÁLES SON LOS FACTORES QUE INTERVIENEN EN LA BAJA MOTIVACIÓN EN EL APRENDIZAJE DEL INGLÉS EN LOS ESTUDIANTES DEL GRADO 10° DEL COLEGIO COLOMBO BRITÁNICO?,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01845,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,¿Cómo influye la separación de los padres en el rendimiento académico de los niños y niñas entre 6 y 7 años de la Institución educativa Tricentenario?,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01846,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,NUEVA FORMULACIÓN DEL ÁREA DE RELIGIÓN COMO HERRAMIENTA QUE PROVOQUE EN LOS ESTUDIANTES DISPOSICIÓN E INTERÉS AL APRENDERLA BASADA FUNDAMENTALMENTE EN LAS TIC.,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01847,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Intervención Psicopastoral al fenómeno de la violencia,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01848,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,ARTE CONTEMPORÁNEO EN LA INFANCIA,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01849,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,LECTURA COMO ESTRATEGIA PARA EL DESARROLLO DE LA COMPETENCIA COMUNICATIVA EN INGLÉS COMO LENGUA EXTRANJERA EN LOS ESTUDIANTES DE OCTAVO GRADO DEL COLEGIO ATENEO HORIZONTE,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01850,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,La eficacia de la didáctica del Inglés en niños de preescolar,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01851,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Importancia del juego y el lenguaje en niños y niñas de 3 a 5 años,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01852,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,INCIDENCIA DEL USO DE VIDEOJUEGOS COMO MEDIADORES DIDÁCTICOS EN EL RENDIMIENTO ACADÉMICO,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01853,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,¿CÓMO INFLUYE EL ACOMPAÑAMIENTO FAMILIAR EN LOS PROCESOS DE FORMACIÓN INTEGRAL DEL NIÑO EN EDAD PREESCOLAR?,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01854,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,DISEÑO DE UNA PROPUESTA PARA ADQUISICIÓN DE COMPETENCIAS DEL NIVEL DE INGLÉS EN INSTITUCIONES PRIVADAS DE ESTRATO 1 Y 2 EN PREESCOLAR,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01855,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Estrategias pedagógicas para abordar el tema de la muerte en el preescolar,Junio 2014,CORPORACION UNIVERSITARIA LASALLISTA,GLORIA MARIA ISAZA ZAPATA,4
01856,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,IDENTIFICACIÓN Y CARACTERIZACIÓN DE LA POBLACIÓN CON DISCAPACIDAD EN EL MUNICIPIO DE BETANIA (ANTIOQUIA) COMO LÍNEA BASE PARA EL DISEÑO DE UN AULA PEDAGÓGIC,Junio 2014,UNIVERSIDAD DE ANTIOQUIA,SANDRA JULIET CLAVIJO ZAPATA,4
01857,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,El pensamiento científico,Diciembre 2013,Fundación Universitaria de la Salle,GLORIA MARIA ISAZA ZAPATA,4
01858,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,"APLICACIÓN DE ESTRATEGIAS METODOLÓGICAS APOYADAS EN LAS TICS, QUE FAVOREZCAN EL DESARROLLO DE HABILIDADES EN ELPROCESO DE LA LECTO-ESCRITURA EN EL GRADO PRIMERO",Noviembre,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01859,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,ESTRATEGIAS DIDÁCTICAS UTILIZADAS EN LA ENSEÑANZA DE LA PRELECTURA,Noviembre,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01860,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Un cuento para hablar de la Muerte,Mayo 2013,Barrio la Gabriela,ADRIANA MARIA GALLEGO HENAO,4
01861,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,ESTRATEGIAS METODOLÓGICAS IMPLEMENTADAS PARA FACILITAR LA INTEGRACION DE ESTUDIANTES CON PROBLEMAS DE DISCIPLINA EN EL AULA DE CLASES,Mayo 2013,Fundacion Universitaria Luis Amigó-Facultad de Educación,ADRIANA MARIA GALLEGO HENAO,4
01862,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,ESTRATEGIAS DE INTERVENCIÓN PEDAGÓGICA PARA DISMINUIR EL BULLYING ENTRE ESCOLARES,Mayo 2013,Fundacion Universitaria Luis Amigó-Facultad de Educación,ADRIANA MARIA GALLEGO HENAO,4
01863,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,"LOS PROCESOS COGNITIVOS EN LA EDAD INFANTIL: APORTE METODOLÓGICO DE LA EDUCACIÓN PREESCOLAR, AL DESARROLLO DE LA DIMENSIÓN COGNITIVA DE LOS NIÑOS",Mayo 2013,Fundacion Universitaria Luis Amigó-Facultad de Educación,ADRIANA MARIA GALLEGO HENAO,4
01864,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,INCIDENCIA DEL AMBIENTE ESCOLAR EN EL DESEMPEÑO ACADEMICO,Mayo 2013,Fundacion Universitaria Luis Amigó-Facultad de Educación,ADRIANA MARIA GALLEGO HENAO,4
01865,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,EL MATERIAL DIDÁCTICO COMO POSIBILIDAD PARA APRENDER SIGNIFICATIVAMENTE,Mayo 2013,Fundacion Universitaria Luis Amigó-Facultad de Educación,ADRIANA MARIA GALLEGO HENAO,4
01866,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,EL DIBUJO Y LAS EMOCIONES EN EL NIÑO EXPRESADAS EN SUS GRANDES OBRAS,Mayo 2013,Fundacion Universitaria Luis Amigó-Facultad de Educación,ADRIANA MARIA GALLEGO HENAO,4
01867,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,FACTORES FAMILIARES QUE INFLUYEN EN LA AGRESIVIDAD INFANTIL Y SU RELACIÓN CON EL PROCESO DE ENSEÑANZA-APRENDIZAJE,Mayo 2013,Fundacion Universitaria Luis Amigó-Facultad de Educación,ADRIANA MARIA GALLEGO HENAO,4
01868,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,ESTRATEGIAS QUE UTILIZAN LOS DOCENTES PARA INCLUIR LOS NIÑOS CON BARRERAS AL AULA REGULAR,Mayo 2013,Fundacion Universitaria Luis Amigó-Facultad de Educación,ADRIANA MARIA GALLEGO HENAO,4
01869,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,"FACTORES ASOCIADOS A LA VIOLENCIA ESTUDIANTIL EN LA INSTITUCIÓN EDUCATIVA MANUEL JOSE CAICEDO DEL MUNICIPIO DE BARBOSA EN LO GRADOS NOVENO, DECIMO Y ONCE.",Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01870,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Espacios acondicionados para el juego en el desarrollo físico y cognitivo de los niños entre los 4 y 5 años de edad de la ciudad de Medellín,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01871,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Causas del bajo rendimiento académico en el grado primero de la  Institucióneducativa Domatías,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01872,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,¿En el proceso de socialización qué factores influyen en el comportamiento agresivo de los niños en las edades 9 a 11 años?,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01873,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Comportamiento agresivo en el aula de clase,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01874,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,EL ¿PERIÓDICO¿ COMO UNA HERRAMIENTA EFECTIVA PARA UNA BUENA COMUNICACIÓN EN EL AULA,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01875,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Desmotivación para el  aprendizaje de una segunda lengua,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01876,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Desmotivación de los alumnos hacia la filosofía,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01877,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,La motivación: motor del rendimiento académico,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01878,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Los códigos verbales del lenguaje entre los niños y jóvenes de la institución educativa Madre Laura del Barrio Buenos Aires,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01879,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Educación y deserción escolar en el ámbito rural,Marzo,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01880,006,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,"PRE, WHILE, AND POST READING TASKS TO PROMOTE THE STUDENTS¿ WRITTEN PRODUCTION OF THEIR OWN NARRATIVE TEXTS",Noviembre 2009,UNIVERSIDAD DE ANTIOQUIA,LILIANA MARIA MATURANA PATARROYO,4
01881,006,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,Implementing Cooperative Group Work prompted by Reading to Enhance Oral Report Task,Noviembre 2009,UNIVERSIDAD DE ANTIOQUIA,LILIANA MARIA MATURANA PATARROYO,4
01882,006,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,THE IMITATION OF PRONUNCIATION PATTERNS FROM DIRECT AND INDIRECT SOURCES AS A PROMPT TO THE TEACHER AND STUDENTS¿ SPOKEN ENGLISH INTERACTION.,Noviembre 2009,UNIVERSIDAD DE ANTIOQUIA,LILIANA MARIA MATURANA PATARROYO,4
01883,006,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,Reading Aloud to Promote EFL Reading Comprehension,Noviembre 2008,UNIVERSIDAD DE ANTIOQUIA,LILIANA MARIA MATURANA PATARROYO,4
01884,006,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,Using the Textbook to Foster Reading Comprehension in the Foreign Language Classroom,Noviembre 2008,UNIVERSIDAD DE ANTIOQUIA,LILIANA MARIA MATURANA PATARROYO,4
01885,006,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,The impact of the students¿ interests on their FL grammatical performance and engagement,Noviembre 2008,UNIVERSIDAD DE ANTIOQUIA,LILIANA MARIA MATURANA PATARROYO,4
01886,006,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,PROMOTING RESPECT AND SELF-REFLECTION THROUGH A THEME-BASED APPROACH,Febrero 2008,UNIVERSIDAD DE ANTIOQUIA,LILIANA MARIA MATURANA PATARROYO,4
