id,id_grupo,categoria,tipo_producto,titulo,pais_revista,revista,ano,autores,ISSN,tipologia,cuartil_scimago,categoria_publindex,ano_fuente_cuartil,ano_fuente_publindex
00724,005,Artículos publicados,Publicado en revista especializada,Red neuronal convolucional para la detección del cáncer cerebral,Colombia,Ingenierías USBMed,2026,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ",20275846,1,No indexada en Scopus,C,,2023
00723,005,Artículos publicados,Publicado en revista especializada,Diagnóstico del TDAH con Redes Neuronales Convolucionales a partir de rs-fMRI,México,Neuropsicología,2026,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, JUAN PABLO OSPINA LOPEZ, ANDRES JUNIOR GALLEGO GARCES, YAIRA CHAMORRO",01241265,1,No indexada en Scopus,No clasificada en Publindex,,
00722,005,Artículos publicados,Publicado en revista especializada,Machine Learning Predictive Model for ADHD Diagnosis: Presentations and Comorbidities,Italia,MEDITERRANEAN JOURNAL OF CLINICAL PSYCHOLOGY,2026,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, MARIA JOSE RUIZ QUINTERO, ANDRES JUNIOR GALLEGO GARCES",22821619,1,Q2,A2,2025,2022
01813,012,Artículos publicados,Publicado en revista especializada,"Narrativas estratégicas rusa y ucraniana y su impacto en Chile, Colombia, España y México",España,HISTORIA Y COMUNICACION SOCIAL,2026,CARLOS MARIO BERRIO MENESES,11370734,1,Q1,A1,2025,2022
01814,012,Artículos publicados,Publicado en revista especializada,"Influencia rusa en la prensa de Argentina, Chile y Colombia durante la guerra de Ucrania",España,REVISTA UNISCI,2026,"JORGE ANDRES RICO ZAPATA, CARLOS MARIO BERRIO MENESES",23869453,1,Q4,C,2025,2022
01815,012,Artículos publicados,Publicado en revista especializada,"INFLUENCIA RUSA EN LA PRENSA DE ARGENTINA, CHILE Y COLOMBIA DURANTE LA GUERRA DE UCRANIA",España,REVISTA UNISCI,2026,JORGE ANDRES RICO ZAPATA,23869453,1,Q4,C,2025,2022
01816,012,Artículos publicados,Publicado en revista especializada,"Mujeres en el periodismo deportivo: percepciones, narrativas y retos profesionales y de formación",España,ESTUDIOS SOBRE EL MENSAJE PERIODISTICO,2026,"DEYBIS ZAPATA CORREA, JUAN ESTEBAN RODRIGUEZ GOMEZ, NICOLASA MARIA DURAN PALACIO, NESTOR JULIAN RESTREPO ECHAVARRIA",11341629,1,Q1,B,2025,2022
00726,005,Artículos publicados,Publicado en revista especializada,Limits of the Ease-of-Retrieval Effect in Real and Fake News Credibility Judgments: Two Preregistered Experiments,,BEHAVIORAL SCIENCES,2026,JULIO ANTONIO OLIVERA LA ROSA,2076328X,1,Q2,A2,2022,2022
00728,005,Artículos publicados,Publicado en revista especializada,Effect of Adverse Childhood Experiences on Antisocial Behavior in Juvenile Offenders: Mediation by Dark Personality Traits and Moral Disengagement,Estados Unidos,JOURNAL OF AGGRESSION MALTREATMENT TRAUMA,2026,ANYERSON STITHS GOMEZ TABARES,1545083X,1,Q1,A2,2022,2022
02017,014,Artículos publicados,Publicado en revista especializada,Perspectivas sobre los nuevos estándares internacionales de sostenibilidad (ISSB),Colombia,Revista En Contexto,2026,CANDY LORENA CHAMORRO GONZALEZ,23463279,1,No indexada en Scopus,C,,2023
00298,002,Artículos publicados,Publicado en revista especializada,Geografías maritoriales de la comunidad étnica raizal en Colombia,Chile,REVISTA DE GEOGRAFIA NORTE GRANDE,2026,"KATY LUZ MILLAN OTERO, JORGE EDUARDO VASQUEZ SANTAMARIA",07183402,1,Q3,B,2025,2022
00573,004,Artículos publicados,Revisión (Survey),Microfinanzas y mujeres: análisis bibliográfico y tendencias con la utilización del Modelo Arima,Colombia,Revista Ánfora,2026,"DAVID SALVADOR CISNEROS ZEPEDA, MARTHA DEL SOCORRO ALZATE CARDENAS",22486941,1,No indexada en Scopus,B,,2023
00572,004,Artículos publicados,Publicado en revista especializada,"Microcréditos, pobreza multidimensional y mujeres en Culiacán, México y Medellín, Colombia",,Revista Lasallista de Investigacion,2026,"DAVID SALVADOR CISNEROS ZEPEDA, MARTHA DEL SOCORRO ALZATE CARDENAS",22563938,1,Q4,C,2025,2023
