id,id_grupo,nombre,vinculacion,horas_dedicacion,inicio_vinculacion,fin_vinculacion,url_x,grupo 2,clasificación,posgrade,id_scholar,orcid,h_index,articulos,softwares,trabajos_dirigidos,capitulos,libros,innovaciones
0041,003,YAMARU DEL VALLE CHIRINOS ARAQUE,Integrante,10,2015-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000045844,GESNE,Investigador Senior (IS),Doctorado,NzpSyf0AAAAJ,0000-0003-0471-9859,9.0,24,0,50,47,0,23
0042,003,DIEGO LEON CARVAJAL SERNA,Integrante,10,2023-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000134157,,Investigador Junior (IJ),Especialización,,,,0,0,11,0,1,47
0043,003,JUAN SANTIAGO CALLE PIEDRAHITA,Integrante,10,2019-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001169017,,Investigador Asociado (I),Doctorado,sXijM8EAAAAJ,0000-0001-6320-5204,,12,0,90,42,1,2
0044,004,MARIA ISABEL GUERRERO MOLINA,Integrante,0,2018-3-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000514322,,Investigador Asociado (I),Doctorado,PXnaNH4AAAAJ,0000-0002-8792-0832,3.0,15,0,44,6,0,1
0045,004,YASMIN ALEXANDRA VASQUEZ SUAREZ,Integrante,0,2018-6-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001409329,,Sin clasificar,Doctorado,,,,4,0,9,0,0,0
0046,004,ALBEIRO AGUIRRE RIOS,Integrante,48,2023-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000028860,,Investigador Junior (IJ),Maestría/Magister,,,,7,0,20,10,0,0
0047,004,ELIAS ALEXANDER VALLEJO MONTOYA,Integrante,7,2014-10-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000623466,,Investigador Junior (IJ),Maestría/Magister,,,,2,0,53,3,0,5
0048,004,GABRIEL ANTONIO MOYANO LONDONO,Integrante,5,2024-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001834846,,Sin clasificar,Doctorado,,,,11,0,2,3,0,0
0049,004,HERNANDO EMILIO ZABALA SALAZAR,Integrante,11,2001-8-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000066419,,Investigador Junior (IJ),Especialización,,,,16,0,2,24,24,0
0050,004,JUAN JOSE ESPINAL PIEDRAHITA,Integrante,2,2021-11-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001721977,,Investigador Junior (IJ),Maestría/Magister,Ej0fTuoAAAAJ,0000-0002-5641-139X,3.0,9,1,10,3,0,0
0051,004,MARTHA DEL SOCORRO ALZATE CARDENAS,Integrante,8,2014-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000942367,,Investigador Junior (IJ),Maestría/Magister,bEZsTPUAAAAJ,0000-0001-5683-7238,4.0,17,0,98,2,4,0
0052,004,VIVIANA MOLINA OSORIO,Integrante,0,2024-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001632836,,Investigador Junior (IJ),Doctorado,,,,2,0,4,2,1,1
0053,004,JOSE DAVID GIRALDO CASTELLANOS,Integrante,2,2021-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000138253,,Investigador Junior (IJ),Doctorado,N18mkQUAAAAJ,0000-0002-1278-8697,4.0,13,0,4,0,0,0
0054,004,LAURA ELENA ZAPATA JIMENEZ,Integrante,2,2022-6-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000313220,,Sin clasificar,Maestría/Magister,IjPj8zoAAAAJ,0000-0002-5934-3484,1.0,0,0,98,12,0,1
0055,005,CATALINA QUINTERO LOPEZ,Integrante,20,2019-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000921602,,Investigador Asociado (I),Doctorado,jp1wLg4AAAAJ,0000-0001-5532-3024,5.0,36,2,34,9,1,2
0056,005,CESAR ANDRES CARMONA CARDONA,Integrante,10,2019-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000021118,,Investigador Junior (IJ),Doctorado,LN9Fg-8AAAAJ,0000-0002-7179-2610,2.0,8,0,26,7,1,0
0057,005,ANYERSON STITHS GOMEZ TABARES,Integrante,5,2020-9-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001583946,ESTUDIOS DE FENÓMENOS PSICOSOCIALES,Investigador Asociado (I),Doctorado,504O9wUAAAAJ,0000-0001-7389-3178,,86,0,41,11,3,0
0058,005,DANIEL ALFREDO LANDINEZ MARTINEZ,Integrante,13,2017-3-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001572030,,Investigador Asociado (I),Doctorado,HWzOMPwAAAAJ,0000-0002-7265-5052,8.0,45,4,33,0,0,0
0059,005,DANIEL ARBOLEDA ORREGO,Integrante,0,2026-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000054459,,Sin clasificar,Maestría/Magister,,,,2,0,4,0,0,0
0060,005,ISABEL CRISTINA PUERTA LOPERA,Integrante,10,2011-3-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000045683,,Investigador Senior (IS),Doctorado,I7x7Oo8AAAAJ,0000-0002-3533-8015,15.0,8,2,27,7,2,8
