id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00032,011,Libros de formación,Libros de formación,Manual Construcción Participativa De Materiales Educativos Herramientas Para La Prevención Integral,Colombia,2003,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ",1
00033,011,Libros de formación,Libros de formación,Manual Conceptos Que Constituyen Información Básica Sobre Farmacodependencia Y Alcoholismo,Colombia,2003,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, CAROLINA MONTOYA MONTOYA",1
00034,011,Libros de formación,Libros de formación,Manual Diseñemos Juntos Un Programa De Prevención Integral,Colombia,2003,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, CAROLINA MONTOYA MONTOYA",1
00035,011,Libros de formación,Libros de formación,Manual Construyendo Participación Comunitaria,Colombia,2003,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, CAROLINA MONTOYA MONTOYA",1
00036,011,Libros de formación,Libros de formación,Manual Construcción Participativa De Materiales Educativos Herramientas Para La Prevención Integral,Colombia,2003,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, CAROLINA MONTOYA MONTOYA",1
00037,011,Libros de formación,Libros de formación,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,Colombia,2003,"GUILLERMO ALONSO CASTANO PEREZ, GRACIELA TOUZE, SILVIA INCHAURRUAGA, ADELAIDA STORTI, MARINO MARTINEZ PEREZ, RICARDO GARCIA BERNAL, TIMOTHY ROSS, ALBA LUZ CAICEDO AGUIRRE, ANTONIO MARIA FLOREZ, FABIO MEZQUITA",1
00038,011,Libros de formación,Libros de formación,Manual Diseñemos Juntos Un Programa De Prevención Integral,Colombia,2003,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ",1
00039,011,Libros de formación,Libros de formación,Farmacodependencia: Conceptos y enfoques,Colombia,2001,"GUSTAVO ADOLFO CALDERON VALLEJO, LIBIA ELENA RAMIREZ ROBLEDO, LUZ ELENA JIMENEZ GOMEZ",1
00040,012,Libros de formación,,,,,,1
00041,013,Libros de formación,,,,,,1
00042,014,Libros de formación,,,,,,1
